#,نام بازی,امتیاز,سطح,زمان,کاربر,نام کاربری,مدت(ثانیه),زمان واکنش(میلی ثانیه),جزئیات,پاسخ های درست,پاسخ های غلط,رشته درست و غلط,تنظیمات پیشرفته,پایان یافته,بیشتر
849896,مو نزنه,100,1,8/6/2023 11:31:25 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,0,998,TFS:[F] RTS:[1468] HDS:[3302386] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,150,1,8/6/2023 11:31:25 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,998,TFS:[F] RTS:[1001] HDS:[3301386] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,200,1,8/6/2023 11:31:21 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,967,TFS:[F] RTS:[1018] HDS:[3111354] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,250,1,8/6/2023 11:31:18 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,0,968,TFS:[F] RTS:[1931] HDS:[3201102] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,300,1,8/6/2023 11:31:18 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,968,TFS:[F] RTS:[1014] HDS:[3202102] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,350,1,8/6/2023 11:31:15 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,0,985,TFS:[T] RTS:[1848] HDS:[3922701] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,250,1,8/6/2023 11:31:14 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,984,TFS:[F] RTS:[1030] HDS:[3921701] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,300,1,8/6/2023 11:31:11 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,0,962,TFS:[T] RTS:[1517] HDS:[3511148] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,200,1,8/6/2023 11:31:10 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,962,TFS:[F] RTS:[1001] HDS:[3512148] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,250,1,8/6/2023 11:31:07 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,0,962,TFS:[T] RTS:[1885] HDS:[3322067] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,150,1,8/6/2023 11:31:06 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,962,TFS:[F] RTS:[1005] HDS:[3322067] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,200,1,8/6/2023 11:31:03 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,0,955,TFS:[T] RTS:[1619] HDS:[3622648] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,100,1,8/6/2023 11:31:03 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,955,TFS:[F] RTS:[1001] HDS:[3622648] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,150,1,8/6/2023 11:30:59 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,0,953,TFS:[T] RTS:[1284] HDS:[3722581] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,50,1,8/6/2023 11:30:59 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,952,TFS:[F] RTS:[1002] HDS:[3720581] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,100,2,8/6/2023 11:30:56 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,4,4133,TFS:[F] RTS:[4141] HDS:[0710605] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,150,2,8/6/2023 11:30:49 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1805,TFS:[F] RTS:[1869] HDS:[0320154] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,200,2,8/6/2023 11:30:44 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,3,3271,TFS:[F] RTS:[3323] HDS:[0012106] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,250,2,8/6/2023 11:30:38 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,4,4913,TFS:[F] RTS:[4921] HDS:[0621047] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,300,2,8/6/2023 11:30:31 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1356,TFS:[T] RTS:[1413] HDS:[0922564] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,200,2,8/6/2023 11:30:27 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,1975,TFS:[T] RTS:[2017] HDS:[0111082] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,100,2,8/6/2023 11:30:22 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,3,3958,TFS:[T] RTS:[3971] HDS:[0700152] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,0,2,8/6/2023 11:30:15 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,2062,TFS:[F] RTS:[2068] HDS:[0401460] CHD:[],0,1,F,,FALSE,
849896,مو نزنه,50,2,8/6/2023 11:30:11 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,2018,TFS:[T] RTS:[2068] HDS:[0522038] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,-50,2,8/6/2023 11:30:06 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1574,TFS:[F] RTS:[1619] HDS:[0421273] CHD:[],0,1,F,,FALSE,
849893,گالری عکس,5250,16,8/6/2023 11:29:05 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,91,"967,4062,3336,1565,1382,1835,1323,1418,1118,1497,1298,1065,981,2233,799,343,769,1127,675,438,650","TFS:[TFFTTTTTFTFTFTTFTFTTT] RTS:[964,4057,3335,1564,1380,1835,1322,1414,1118,1496,1296,1064,979,2232,798,340,768,1130,672,436,648] HDS:[00,02,0K,04,0M,08,0A,0S,0S,04,16,1K,1M,1K,1M,1O,14,1M,14,1M,18] CHD:[LOH4ALHHLOOHLLLHLLLHAL4HH]",14,7,TFFTTTTTFTFTFTTFTFTTT,,TRUE,
